company_name,fu_id,zone,product,start_time_local,end_time_local,availability_mw_req,utilisation_mw_req,availability_price,utilisation_price,availability_mwh_req,utilisation_mwh_req,technology,dispatch_type,hours_requested,dispatch_method,start_time_utc,end_time_utc,time_utc
OVO Energy,CA62-WILL-PR-CADD,Willesden Grid,Peak Reduction,2025-06-19T16:00:00+01:00,2025-06-19T18:00:00+01:00,0.0,0.05,0.0,123.85,0.0,0.1,EV Charger DSR,demand_turn_down,2.0,epex,2025-06-19 15:00:00+00:00,2025-06-19 17:00:00+00:00,15:00:00+00:00
Octopus,OCTO-LEYS-LTU-1503,Leysdown,Long-Term Utilisation,2025-06-19T15:30:00+01:00,2025-06-19T22:30:00+01:00,0.0,0.02,0.0,343.0,0.0,0.14,EV Charger DSR,demand_turn_down,7.0,epex,2025-06-19 14:30:00+00:00,2025-06-19 21:30:00+00:00,14:30:00+00:00
Octopus,OCTO-HEND-LTU-89C6,Hendon Way,Long-Term Utilisation,2025-06-19T15:00:00+01:00,2025-06-19T19:00:00+01:00,0.0,0.081,0.0,181.0,0.0,0.32,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 14:00:00+00:00,2025-06-19 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,selwyn-road-lt_saou-ev-c1-portfolio,Selwyn Road,Scheduled Availability,2025-06-19T15:00:00+01:00,2025-06-19T19:00:00+01:00,0.018,0.0,35.0,0.0,0.07,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 14:00:00+00:00,2025-06-19 18:00:00+00:00,14:00:00+00:00
Axle Energy Limited,6930-WING-PR-A426,Wingham,Peak Reduction,2025-06-19T15:00:00+01:00,2025-06-19T19:00:00+01:00,0.0,0.01,0.0,52.73,0.0,0.04,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 14:00:00+00:00,2025-06-19 18:00:00+00:00,14:00:00+00:00
OVO Energy,CA62-WING-PR-2FB0,Wingham,Peak Reduction,2025-06-19T15:00:00+01:00,2025-06-19T19:00:00+01:00,0.0,0.03,0.0,52.75,0.0,0.12,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 14:00:00+00:00,2025-06-19 18:00:00+00:00,14:00:00+00:00
Octopus,OCTO-WILL-LTU-F8CF,Willesden Grid,Long-Term Utilisation,2025-06-19T13:30:00+01:00,2025-06-19T15:00:00+01:00,0.0,0.093,0.0,90.0,0.0,0.14,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-19 12:30:00+00:00,2025-06-19 14:00:00+00:00,12:30:00+00:00
Ev.energy,EV.E-HEND-SAOU-D20A,Hendon Way,Scheduled Availability,2025-06-19T11:30:00+01:00,2025-06-19T19:00:00+01:00,0.3,0.0,260.0,0.0,2.25,0.0,EV Charger DSR,demand_turn_down,7.5,epex,2025-06-19 10:30:00+00:00,2025-06-19 18:00:00+00:00,10:30:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c2-portfolio,Thorpe Grid 33,Scheduled Availability,2025-06-19T11:30:00+01:00,2025-06-19T13:00:00+01:00,0.074,0.0,14.0,0.0,0.11,0.0,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-19 10:30:00+00:00,2025-06-19 12:00:00+00:00,10:30:00+00:00
Ohme,OHME-THOR-LTU-B4F8,Thorpe Grid 33,Long-Term Utilisation,2025-06-19T11:30:00+01:00,2025-06-19T13:00:00+01:00,0.0,0.07,0.0,23.0,0.0,0.1,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-19 10:30:00+00:00,2025-06-19 12:00:00+00:00,10:30:00+00:00
Ev.energy,EV.E-THOR-SAOU-F901,Thorpe Grid 33,Scheduled Availability,2025-06-19T11:30:00+01:00,2025-06-19T13:00:00+01:00,0.09,0.0,14.0,0.0,0.14,0.0,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-19 10:30:00+00:00,2025-06-19 12:00:00+00:00,10:30:00+00:00
Axle Energy Limited,thorpe-grid-33-lt_saou-ev-c1-portfolio,Thorpe Grid 33,Scheduled Availability,2025-06-19T11:30:00+01:00,2025-06-19T13:00:00+01:00,0.046,0.0,14.0,0.0,0.07,0.0,EV Charger DSR,demand_turn_down,1.5,epex,2025-06-19 10:30:00+00:00,2025-06-19 12:00:00+00:00,10:30:00+00:00
Axle Energy Limited,brandon-lt_saou-ev-c1-portfolio,Brandon,Scheduled Availability,2025-06-19T11:00:00+01:00,2025-06-19T12:00:00+01:00,0.01,0.0,241.0,0.0,0.01,0.0,EV Charger DSR,demand_turn_down,1.0,epex,2025-06-19 10:00:00+00:00,2025-06-19 11:00:00+00:00,10:00:00+00:00
Octopus,OCTO-FELT-LTU-4C46,Feltwell,Long-Term Utilisation,2025-06-19T11:00:00+01:00,2025-06-19T13:30:00+01:00,0.0,0.031,0.0,670.0,0.0,0.08,EV Charger DSR,demand_turn_down,2.5,epex,2025-06-19 10:00:00+00:00,2025-06-19 12:30:00+00:00,10:00:00+00:00
Axle Energy Limited,kenninghall-lt_saou-ev-c1-portfolio,Kenninghall,Scheduled Availability,2025-06-19T11:00:00+01:00,2025-06-19T15:00:00+01:00,0.011,0.0,32.0,0.0,0.04,0.0,EV Charger DSR,demand_turn_down,4.0,epex,2025-06-19 10:00:00+00:00,2025-06-19 14:00:00+00:00,10:00:00+00:00
